Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5221593261,xTRISKITx (11/20),0,222.4,1B Shohei Ohtani 2B Nick Sogard 3B Caleb Durbin C Mickey Gasper OF Ceddanne Rafaela OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Blake Snell,P,56.21%,22.5
2,5221807813,samirnj (15/20),0,217.85,1B Willson Contreras 2B Jorge Polanco 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Ceddanne Rafaela OF Randal Grichuk P Blake Snell P Framber Valdez SS Bobby Witt Jr.,,Shota Imanaga,P,41.60%,23.9
3,5221510882,rstanley23 (2/2),0,197.85,1B Willson Contreras 2B Nick Sogard 3B Caleb Durbin C Hunter Feduccia OF Shohei Ohtani OF Pete Crow-Armstrong OF Ceddanne Rafaela P Framber Valdez P Brayan Bello SS Andruw Monasterio,,Framber Valdez,P,30.77%,13.35
4,5221466921,masonplays2014 (20/20),0,197.4,1B Vinnie Pasquantino 2B Nick Sogard 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Pete Crow-Armstrong OF Eli White P Blake Snell P Shota Imanaga SS Andruw Monasterio,,Shohei Ohtani,OF,23.21%,40
5,5221384750,Nick628,0,196.45,1B Freddie Freeman 2B Hao-Yu Lee 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Framber Valdez P Walker Buehler SS Bobby Witt Jr.,,Max Muncy,3B,22.81%,25
6,5221846834,DigitalDreams (7/16),0,195.4,1B Shohei Ohtani 2B Hao-Yu Lee 3B Colt Keith C Drake Baldwin OF Pete Crow-Armstrong OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Javier Baez,,Nolan McLean,P,22.69%,14.9
7,5221548084,jsamtoy (4/20),0,194.4,1B Shohei Ohtani 2B Hao-Yu Lee 3B Max Muncy C Salvador Perez OF Isaac Collins OF Kyle Isbel OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Hunter Feduccia,C,21.63%,2
8,5221189259,Emac (18/20),0,193.4,1B Shohei Ohtani 2B Hao-Yu Lee 3B Colt Keith C Salvador Perez OF Byron Buxton OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Mookie Betts,SS,19.05%,9
9,5221182965,drunkonpappy (1/20),0,193.25,1B Jac Caglianone 2B Hao-Yu Lee 3B Colt Keith C Dillon Dingler OF Pete Crow-Armstrong OF Zach McKinstry OF Brett Callahan P Shota Imanaga P Framber Valdez SS Bobby Witt Jr.,,Kyle Tucker,OF,17.20%,0
9,5221212085,xxSPURS21xx (12/20),0,193.25,1B Jac Caglianone 2B Hao-Yu Lee 3B Colt Keith C Dillon Dingler OF Pete Crow-Armstrong OF Zach McKinstry OF Brett Callahan P Shota Imanaga P Framber Valdez SS Bobby Witt Jr.,,Brett Callahan,OF,16.15%,7
9,5221420892,pitcoman (5/20),0,193.25,1B Jac Caglianone 2B Hao-Yu Lee 3B Maikel Garcia C Salvador Perez OF Shohei Ohtani OF Zach McKinstry OF Kyle Isbel P Shota Imanaga P Framber Valdez SS Bobby Witt Jr.,,Shohei Ohtani,1B,15.87%,40
12,5221636712,cmalas (6/20),0,192.4,1B Willson Contreras 2B Nick Sogard 3B Max Muncy C Mickey Gasper OF Shohei Ohtani OF Ceddanne Rafaela OF Eli White P Blake Snell P Shota Imanaga SS Jared Triolo,,Bobby Witt Jr.,SS,15.42%,39
13,5221865993,erarfa (1/2),0,192.25,1B Nick Yorke 2B Jorge Polanco 3B Max Muncy C Hunter Feduccia OF Shohei Ohtani OF Andy Pages OF Kyle Isbel P Shota Imanaga P Framber Valdez SS Bobby Witt Jr.,,Andy Pages,OF,15.15%,21
14,5221857722,hightower104 (10/20),0,190.5,1B Willson Contreras 2B Nick Sogard 3B Jared Triolo C Adley Rutschman OF Shohei Ohtani OF Wilyer Abreu OF Ceddanne Rafaela P Blake Snell P Alec Gamboa SS Bobby Witt Jr.,,Drake Baldwin,C,14.61%,10
15,5221686623,LOCNOTM (10/20),0,190.4,1B Shohei Ohtani 2B Alika Williams 3B Tommy White C Brian Serven OF Andy Pages OF Lawrence Butler OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Michael Wacha,P,13.33%,9.65
15,5221817785,Discostupendously (4/20),0,190.4,1B Vinnie Pasquantino 2B Hao-Yu Lee 3B Maikel Garcia C Salvador Perez OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Michael Harris II,OF,13.23%,3
15,5221846831,DigitalDreams (4/16),0,190.4,1B Vinnie Pasquantino 2B Hao-Yu Lee 3B Maikel Garcia C Salvador Perez OF Shohei Ohtani OF Zach McKinstry OF Brett Callahan P Blake Snell P Shota Imanaga SS Bobby Witt Jr.,,Matt Olson,1B,13.04%,7
18,5221879828,jjbrock (8/20),0,189.25,1B Willson Contreras 2B Nick Sogard 3B Caleb Durbin C Mickey Gasper OF Shohei Ohtani OF Andy Pages OF Eli White P Shota Imanaga P Framber Valdez SS Mookie Betts,,Salvador Perez,C,12.35%,7
19,5221189253,Emac (12/20),0,188.85,1B Jac Caglianone 2B Jeff McNeil 3B Tommy White C Salvador Perez OF Shohei Ohtani OF Lawrence Butler OF Zach McKinstry P Blake Snell P Framber Valdez SS Bobby Witt Jr.,,Freddie Freeman,1B,11.63%,19
20,5221496346,VegasStacker (3/5),0,188.6,1B Shohei Ohtani 2B Nick Sogard 3B Caleb Durbin C Hunter Feduccia OF Byron Buxton OF Max Clark OF Zach McKinstry P Blake Snell P Walker Buehler SS Bobby Witt Jr.,,Teoscar Hernandez,OF,10.93%,0
21,5221344077,rollcubs (8/10),0,187.75,1B Nick Yorke 2B Michael Massey 3B Brooks Lee C Salvador Perez OF Shohei Ohtani OF Pete Crow-Armstrong OF Gavin Sheets P Michael Wacha P Walker Buehler SS Bobby Witt Jr.,,Tommy Edman,2B,10.81%,7
