Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
21,5220782420,Moosemasher (2/2),20.51,108.85,1B Royce Lewis 2B Ketel Marte 3B Colt Keith C Drew Romo OF Bryan Reynolds OF Michael Harris II OF Carson Benge P Eury Perez P Michael Soroka SS Francisco Lindor,,Javier Sanoja,3B,9.26%,0
23,5220775078,Darkmen715 (17/17),13.5199995,106.9,1B Matt Olson 2B Jorge Polanco 3B Ryan McMahon C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Zach McKinstry P Dylan Cease P Drew Anderson SS Geraldo Perdomo,,Bryce Harper,OF,9.26%,0
24,5220778943,Jeter2333 (5/17),15.860001,106.7,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Jake Cronenworth,2B,8.92%,0
24,5220785813,Jeter2333 (12/17),15.860001,106.7,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Esteury Ruiz,OF,8.75%,8
24,5220788069,d9144 (5/12),15.860001,106.7,1B Jared Young 2B Jorge Polanco 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Bo Bichette,3B,8.75%,8
27,5220783684,colemandizzy,19.01,105.7,1B Matt Olson 2B Xavier Edwards 3B Nick Yorke C Agustin Ramirez OF Corbin Carroll OF Michael Harris II OF Braden Montgomery P Dylan Cease P Christian Scott SS Jared Triolo,,Ryan Weathers,P,8.75%,18.15
28,5220780094,rominski93,29.82,105.4,1B Matt Olson 2B Royce Lewis 3B Brooks Lee C Austin Wells OF Byron Buxton OF Kody Clemens OF Trevor Larnach P Sean Burke P Dean Kremer SS Francisco Lindor,,Fernando Tatis Jr.,OF,8.59%,0
29,5220783033,dean78904 (5/6),30.34,104.55,1B Munetaka Murakami 2B Sam Antonacci 3B Miguel Vargas C Drew Romo OF Dominic Smith OF Brett Baty OF Gavin Sheets P Dylan Cease P Eury Perez SS Colson Montgomery,,Ronald Acuna Jr.,OF,8.59%,12
30,5220783096,Scottg21,29.65,104.5,1B Kyle Schwarber 2B Kody Clemens 3B Brooks Lee C Drew Romo OF Byron Buxton OF Trevor Larnach OF Brett Bateman P Dylan Cease P Nick Lodolo SS Andruw Monasterio,,Tim Tawa,OF,7.91%,2
31,5220751721,mgo14,33,103.7,1B Abimelec Ortiz 2B Jake Cronenworth 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Michael Harris II OF Kody Clemens P Dylan Cease P Dean Kremer SS Francisco Lindor,,Mike Yastrzemski,OF,7.58%,0
31,5220781013,tvielkin (6/7),15.860001,103.7,1B Dominic Smith 2B Jorge Polanco 3B Bo Bichette C Luis Torrens OF Corbin Carroll OF Michael Harris II OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Ceddanne Rafaela,OF,7.58%,0
33,5220778939,Jeter2333 (1/17),18.19,103.4,1B Jared Young 2B Jorge Polanco 3B Charles McAdoo C Gabriel Moreno OF Ronald Acuna Jr. OF Carson Benge OF A.J. Ewing P Dylan Cease P Ryan Weathers SS Francisco Lindor,,Drake Baldwin,C,7.24%,14
33,5220785812,Jeter2333 (11/17),18.19,103.4,1B Jared Young 2B Jorge Polanco 3B Charles McAdoo C Gabriel Moreno OF Ronald Acuna Jr. OF Carson Benge OF A.J. Ewing P Dylan Cease P Ryan Weathers SS Francisco Lindor,,Javier Sanoja,OF,7.24%,0
35,5220779409,phil-osophy1,24.34,102.55,1B Jared Young 2B Royce Lewis 3B Charles McAdoo C Agustin Ramirez OF Kody Clemens OF Carson Benge OF A.J. Ewing P Dylan Cease P Eury Perez SS Francisco Lindor,,Trevor Larnach,OF,7.24%,5
36,5220785811,Jeter2333 (10/17),18.36,102.4,1B Abimelec Ortiz 2B Brett Baty 3B Jorge Polanco C Gabriel Moreno OF Corbin Carroll OF Carson Benge OF A.J. Ewing P Dylan Cease P Ryan Weathers SS Francisco Lindor,,Michael Harris II,OF,6.90%,8
37,5220768101,Grimble,26,101.7,1B Josh Bell 2B Kody Clemens 3B Bo Bichette C Luis Torrens OF Brandon Marsh OF Luis Robert Jr. OF Luke Keaschall P Dylan Cease P Christian Scott SS Francisco Lindor,,Charles McAdoo,3B,6.90%,6
37,5220768295,CraigV1130,21.02,101.7,1B Jared Young 2B Ketel Marte 3B Bo Bichette C Luis Torrens OF Corbin Carroll OF Carson Benge OF Heriberto Hernandez P Dylan Cease P Dean Kremer SS Francisco Lindor,,Wilyer Abreu,OF,6.90%,0
