Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,5220756748,cha457 (10/17),0,144.7,1B Michael Toglia 2B Xavier Edwards 3B Bryson Stott C Agustin Ramirez OF Bryce Harper OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Christian Scott SS Otto Lopez,,Bryce Harper,OF,9.26%,9
24,5220753177,tfamularo (4/4),0,144.55,1B Matt Olson 2B Brett Baty 3B Ryan McMahon C Drake Baldwin OF Ronald Acuna Jr. OF Luis Rengifo OF Javier Sanoja P Casey Mize P Christian Scott SS Francisco Lindor,,Jake Cronenworth,2B,8.92%,14
25,5220753623,XYZee03 (13/17),0,143.7,1B Munetaka Murakami 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Chase DeLauter OF Heriberto Hernandez OF Gavin Sheets P Dylan Cease P Christian Scott SS Otto Lopez,,Esteury Ruiz,OF,8.75%,8
26,5220753618,XYZee03 (8/17),0,143.55,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Carson Benge OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Otto Lopez,,Bo Bichette,3B,8.75%,16
26,5220787903,MoneyMatt711 (2/3),0,143.55,1B Jared Young 2B Kody Clemens 3B Bo Bichette C Drew Romo OF A.J. Ewing OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,Ryan Weathers,P,8.75%,18.3
28,5220766883,dennisgolovaty,0,142.75,1B Matt Olson 2B Brett Baty 3B Bo Bichette C Luis Torrens OF Ronald Acuna Jr. OF Carson Benge OF Heriberto Hernandez P Ryan Weathers P Christian Scott SS Francisco Lindor,,Fernando Tatis Jr.,OF,8.59%,6
29,5220751173,ruckness815 (1/2),0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Ronald Acuna Jr.,OF,8.59%,12
29,5220754151,JERKER19 (2/5),0,142.55,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Carson Benge OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Otto Lopez,,Tim Tawa,OF,7.91%,4
29,5220756685,JayAguilar23,0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Mike Yastrzemski,OF,7.58%,0
29,5220764356,timrowland09,0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Ceddanne Rafaela,OF,7.58%,0
29,5220773446,Thegamejoshyd44 (1/17),0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Drake Baldwin,C,7.24%,14
29,5220773458,Thegamejoshyd44 (6/17),0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Javier Sanoja,OF,7.24%,20
29,5220776519,KizrBr (2/5),0,142.55,1B Abimelec Ortiz 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Daylen Lile OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS CJ Abrams,,Trevor Larnach,OF,7.24%,5
29,5220779113,nwspring52,0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Michael Harris II,OF,6.90%,8
29,5220781796,Thegamejoshyd44 (12/17),0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Charles McAdoo,3B,6.90%,6
29,5220785678,42Ballerz,0,142.55,1B Jared Young 2B Royce Lewis 3B Bryson Stott C Agustin Ramirez OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Wilyer Abreu,OF,6.90%,2
