Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
93,5220764844,pdt13 (9/17),0,128.75,1B Kyle Schwarber 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Eury Perez P Christian Scott SS Geraldo Perdomo,,Bryce Harper,1B,2.86%,9
93,5220764845,pdt13 (10/17),0,128.75,1B Bryce Harper 2B Bryson Stott 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Eury Perez P Christian Scott SS Geraldo Perdomo,,Brian Navarreto,C,2.86%,0
93,5220776569,DVaughnKing (1/2),0,128.75,1B Matt Olson 2B Brett Baty 3B Alec Bohm C Austin Wells OF Bryce Harper OF Fernando Tatis Jr. OF Corbin Carroll P Eury Perez P Christian Scott SS Edmundo Sosa,,CJ Abrams,SS,2.86%,0
93,5220776792,DVaughnKing (2/2),0,128.75,1B Matt Olson 2B Brett Baty 3B Alec Bohm C Austin Wells OF Bryce Harper OF Fernando Tatis Jr. OF Corbin Carroll P Eury Perez P Christian Scott SS Edmundo Sosa,,Andruw Monasterio,SS,2.86%,0
97,5220776370,Jimbobwae42,0,128.7,1B Miguel Vargas 2B Ketel Marte 3B Alec Bohm C Luis Torrens OF Corbin Carroll OF Steven Kwan OF Tim Tawa P Dylan Cease P Christian Scott SS Francisco Lindor,,Michael Soroka,P,2.86%,14.55
97,5220783192,brandonabk (3/4),0,128.7,1B Tim Tawa 2B Xavier Edwards 3B Bryson Stott C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Nick Lodolo,P,2.69%,12.25
99,5220754395,poole071578,0,128.55,1B Kyle Schwarber 2B Anthony Seigler 3B Charles McAdoo C Agustin Ramirez OF Fernando Tatis Jr. OF Kody Clemens OF Edmundo Sosa P Dylan Cease P Ryan Weathers SS Jared Triolo,,Daylen Lile,OF,2.69%,4
99,5220768399,SGG171 (1/2),0,128.55,1B Kyle Schwarber 2B Bryson Stott 3B Alec Bohm C Alejandro Kirk OF Javier Sanoja OF Mike Yastrzemski OF Tristan Peters P Dylan Cease P Eury Perez SS Francisco Lindor,,Gavin Sheets,OF,2.69%,14
101,5220788065,d9144 (1/12),0,128.2,1B Jared Young 2B Bryson Stott 3B Brooks Lee C Gabriel Moreno OF A.J. Ewing OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Sean Burke SS Francisco Lindor,,Colson Montgomery,SS,2.69%,8
102,5220774074,FantasyCrusader (3/8),0,128.05,1B Abimelec Ortiz 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Daylen Lile OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Patrick Sandoval SS CJ Abrams,,Esmerlyn Valdez,OF,2.53%,16
103,5220783719,startingnine23,0,127.7,1B Sal Stewart 2B Bryson Stott 3B Alec Bohm C Freddy Fermin OF Corbin Carroll OF Luis Rengifo OF Gavin Sheets P Dylan Cease P Christian Scott SS Francisco Lindor,,Brett Baty,OF,2.53%,7
104,5220756749,cha457 (11/17),0,127.55,1B Kyle Schwarber 2B Bryson Stott 3B Leo Jimenez C Agustin Ramirez OF Esteury Ruiz OF Javier Sanoja OF Edmundo Sosa P Dylan Cease P Eury Perez SS Otto Lopez,,Andrew Benintendi,OF,2.53%,2
104,5220785666,LordofRings6 (1/2),0,127.55,1B Matt Olson 2B Royce Lewis 3B Brooks Lee C James McCann OF Ronald Acuna Jr. OF Mike Yastrzemski OF Tim Tawa P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Braden Montgomery,OF,2.53%,5
106,5220775075,Darkmen715 (14/17),0,126.75,1B Michael Toglia 2B Jake Cronenworth 3B Miguel Vargas C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Heriberto Hernandez P Eury Perez P Christian Scott SS Francisco Lindor,,Charles McAdoo,1B,2.36%,6
107,5220764851,pdt13 (16/17),0,126.7,1B Michael Toglia 2B Jake Cronenworth 3B Jose Ramirez C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Gavin Sheets P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Jo Adell,OF,2.36%,0
108,5220752483,bengra99,0,126.55,1B Jared Young 2B Bryson Stott 3B Jorge Polanco C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,J.T. Realmuto,C,2.36%,0
108,5220766239,Casey0504 (1/2),0,126.55,1B Jared Young 2B Jorge Polanco 3B Bryson Stott C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,Justin Crawford,OF,2.19%,5
108,5220776057,Casey0504 (2/2),0,126.55,1B Jared Young 2B Jorge Polanco 3B Bryson Stott C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,Ryan McMahon,3B,2.19%,0
108,5220783034,dean78904 (6/6),0,126.55,1B Munetaka Murakami 2B Sam Antonacci 3B Charles McAdoo C Drake Baldwin OF Dominic Smith OF Gavin Sheets OF Tristan Peters P Dylan Cease P Eury Perez SS Colson Montgomery,,Jared Triolo,SS,2.19%,5
112,5220784535,doinky1,0,125.75,1B Matt Olson 2B Sam Antonacci 3B Miguel Vargas C Agustin Ramirez OF Michael Harris II OF Andrew Benintendi OF Mike Yastrzemski P Ryan Weathers P Christian Scott SS Colson Montgomery,,Chase Meidroth,2B,2.19%,2
113,5220785738,FATEFELLSHORT (1/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Bryan Reynolds,OF,2.19%,18
113,5220785752,FATEFELLSHORT (3/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Ozzie Albies,2B,2.19%,2
113,5220785779,FATEFELLSHORT (5/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Edmundo Sosa,OF,2.02%,8
113,5220787665,FATEFELLSHORT (7/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Austin Riley,3B,2.02%,12
113,5220787670,FATEFELLSHORT (9/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Connor Wong,C,2.02%,21
113,5220787682,FATEFELLSHORT (11/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Xander Bogaerts,SS,2.02%,9
113,5220787691,FATEFELLSHORT (13/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Trent Grisham,OF,2.02%,0
113,5220787695,FATEFELLSHORT (15/16),0,125.7,1B Matt Olson 2B Jorbit Vivas 3B Charles McAdoo C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Kaelen Culpepper,,Kazuma Okamoto,3B,2.02%,9
121,5220787861,blindman24 (2/2),0,125.55,1B Abimelec Ortiz 2B Jorge Polanco 3B Javier Sanoja C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Tim Tawa P Dylan Cease P Eury Perez SS Francisco Lindor,,George Lombard Jr.,SS,2.02%,14
122,5220775074,Darkmen715 (13/17),0,124.75,1B Rafael Flores Jr. 2B Jorge Polanco 3B Miguel Vargas C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Heriberto Hernandez P Eury Perez P Christian Scott SS Francisco Lindor,,Dominic Smith,1B,2.02%,5
122,5220780009,Fitzoreo (2/2),0,124.75,1B Miguel Vargas 2B Xavier Edwards 3B Charles McAdoo C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Heriberto Hernandez P Ryan Weathers P Christian Scott SS Geraldo Perdomo,,Colson Montgomery,3B,2.02%,8
124,5220785787,jdjay (1/2),0,124.7,1B Tim Tawa 2B Jorge Polanco 3B Bo Bichette C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Francisco Lindor,,Victor Caratini,C,1.85%,2
124,5220787238,jdjay (2/2),0,124.7,1B Tim Tawa 2B Jorge Polanco 3B Bo Bichette C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Francisco Lindor,,James McCann,C,1.85%,6
126,5220756753,cha457 (15/17),0,124.55,1B Jared Young 2B Xavier Edwards 3B Jorge Polanco C Agustin Ramirez OF Corbin Carroll OF Esteury Ruiz OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Francisco Lindor,,Javier Baez,SS,1.85%,0
126,5220781042,JERKER19 (5/5),0,124.55,1B Munetaka Murakami 2B Sam Antonacci 3B Javier Sanoja C Agustin Ramirez OF Braden Montgomery OF Andrew Benintendi OF Brett Bateman P Dylan Cease P Eury Perez SS Colson Montgomery,,Jake Irvin,P,1.85%,10.9
128,5220754150,JERKER19 (1/5),0,124.2,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Carson Benge OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Sean Burke SS Otto Lopez,,Ben Rice,C,1.85%,16
128,5220775492,Stree (12/12),0,124.2,1B Tim Tawa 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF JJ Bleday OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Sean Burke SS Colson Montgomery,,Miguel Vargas,1B,1.85%,16
128,5220780035,JERKER19 (4/5),0,124.2,1B Jared Young 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Carson Benge OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Sean Burke SS Francisco Lindor,,Ernie Clement,2B,1.85%,2
131,5220787679,Erikbolt,0,123.2,1B Kyle Schwarber 2B Jake Cronenworth 3B Kazuma Okamoto C Agustin Ramirez OF Heriberto Hernandez OF Mike Yastrzemski OF Gavin Sheets P Dylan Cease P Sean Burke SS Colson Montgomery,,Jorbit Vivas,2B,1.85%,7
132,5220783032,dean78904 (4/6),0,123.05,1B Matt Olson 2B Jake Cronenworth 3B Ryan McMahon C Drake Baldwin OF Ronald Acuna Jr. OF Dominic Smith OF Brett Baty P Dylan Cease P Dean Kremer SS Francisco Lindor,,Jared Triolo,3B,1.68%,5
133,5220776018,brandonabk (2/4),0,122.7,1B Jared Young 2B Sam Antonacci 3B Jorge Polanco C Agustin Ramirez OF Byron Buxton OF Heriberto Hernandez OF Luis Robert Jr. P Dylan Cease P Christian Scott SS Francisco Lindor,,Tanner Bibee,P,1.68%,7.5
134,5220764849,pdt13 (14/17),0,122.55,1B Josh Bell 2B Jake Cronenworth 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Carson Benge OF Esteury Ruiz P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Luis Rengifo,OF,1.68%,17
134,5220775483,Stree (3/12),0,122.55,1B Alec Bohm 2B Luis Arraez 3B Bryson Stott C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Justin Crawford P Dylan Cease P Eury Perez SS Edmundo Sosa,,Kazuma Okamoto,1B,1.68%,9
134,5220776935,AJSuperman,0,122.55,1B Kyle Schwarber 2B Xavier Edwards 3B Charles McAdoo C Brian Navarreto OF Carson Benge OF Heriberto Hernandez OF Javier Sanoja P Dylan Cease P Eury Perez SS Otto Lopez,,Royce Lewis,1B,1.68%,9
134,5220779409,phil-osophy1,0,122.55,1B Jared Young 2B Royce Lewis 3B Charles McAdoo C Agustin Ramirez OF Kody Clemens OF Carson Benge OF A.J. Ewing P Dylan Cease P Eury Perez SS Francisco Lindor,,Spencer Jones,OF,1.68%,0
138,5220768295,CraigV1130,0,122.05,1B Jared Young 2B Ketel Marte 3B Bo Bichette C Luis Torrens OF Corbin Carroll OF Carson Benge OF Heriberto Hernandez P Dylan Cease P Dean Kremer SS Francisco Lindor,,Sam Antonacci,OF,1.52%,6
139,5220788066,d9144 (2/12),0,121.7,1B Jared Young 2B Bryson Stott 3B Eugenio Suarez C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Steven Kwan P Dylan Cease P Christian Scott SS Francisco Lindor,,Nathaniel Lowe,1B,1.52%,5
140,5220753616,XYZee03 (6/17),0,121.05,1B Jared Young 2B Ketel Marte 3B Javier Sanoja C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Patrick Sandoval SS Otto Lopez,,Freddy Fermin,C,1.52%,3
141,5220784694,mclocker (2/2),0,120.7,1B Jared Young 2B Jorge Polanco 3B Charles McAdoo C Drake Baldwin OF Byron Buxton OF Corbin Carroll OF Javier Sanoja P Dylan Cease P Christian Scott SS Francisco Lindor,,Dylan Crews,OF,1.35%,0
141,5220785913,bjjball44 (12/17),0,120.7,1B Michael Toglia 2B Jorge Polanco 3B Bryson Stott C Agustin Ramirez OF Fernando Tatis Jr. OF Corbin Carroll OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Otto Lopez,,Kevin McGonigle,3B,1.35%,2
143,5220781404,savagebucket,0,120.55,1B Alec Bohm 2B Luis Arraez 3B Bryson Stott C Brian Navarreto OF Heriberto Hernandez OF Esteury Ruiz OF Jakob Marsee P Dylan Cease P Eury Perez SS Otto Lopez,,Henry Davis,C,1.35%,2
143,5220784527,neterka (2/2),0,120.55,1B Jared Young 2B Brett Baty 3B Bryson Stott C Rafael Flores Jr. OF Corbin Carroll OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Eury Perez SS Francisco Lindor,,Jose Caballero,2B,1.35%,14
145,5220769404,BadMOFO55,0,120.2,1B Jared Young 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Michael Harris II OF Jackson Merrill OF Heriberto Hernandez P Dylan Cease P Sean Burke SS Otto Lopez,,Brady House,3B,1.35%,2
146,5220775077,Darkmen715 (16/17),0,119.8,1B Ben Rice 2B Jake Cronenworth 3B Jorge Polanco C Drake Baldwin OF Ronald Acuna Jr. OF A.J. Ewing OF Heriberto Hernandez P Ryan Weathers P Bryce Elder SS Geraldo Perdomo,,Nick Yorke,3B,1.35%,17
147,5220775491,Stree (11/12),0,119.75,1B Ty France 2B Jake Cronenworth 3B Manny Machado C Agustin Ramirez OF Fernando Tatis Jr. OF Jackson Merrill OF Heriberto Hernandez P Eury Perez P Christian Scott SS Otto Lopez,,Dominic Smith,OF,1.35%,5
147,5220785841,MoneyMatt711 (1/3),0,119.75,1B Royce Lewis 2B Kody Clemens 3B Bo Bichette C Agustin Ramirez OF Carson Benge OF A.J. Ewing OF Trevor Larnach P Eury Perez P Christian Scott SS Francisco Lindor,,Zach McKinstry,OF,1.18%,4
149,5220770045,kyleorso (1/17),0,119.7,1B Jared Young 2B Bryson Stott 3B Javier Sanoja C Luis Torrens OF Bryce Harper OF Carson Benge OF A.J. Ewing P Dylan Cease P Christian Scott SS Otto Lopez,,Billy Cook,OF,1.18%,2
149,5220787688,SonOfDad (3/4),0,119.7,1B Tim Tawa 2B Ketel Marte 3B Jorge Polanco C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Francisco Lindor,,Nick Sogard,1B,1.18%,0
151,5220755169,ivymoose (4/5),0,119.55,1B Bryce Harper 2B Bryson Stott 3B Leo Jimenez C Agustin Ramirez OF Brandon Marsh OF Javier Sanoja OF Justin Crawford P Dylan Cease P Eury Perez SS Edmundo Sosa,,Austin Wells,C,1.18%,0
152,5220781758,jc000000,0,119.5,1B Kyle Schwarber 2B Jorge Polanco 3B Javier Sanoja C Agustin Ramirez OF Bryce Harper OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Andrew Painter SS Otto Lopez,,Jake Mangum,OF,1.01%,5
153,5220772418,cb_hanson,0,118.75,1B Jared Young 2B Jake Cronenworth 3B Manny Machado C Drake Baldwin OF Fernando Tatis Jr. OF Jackson Merrill OF Gavin Sheets P Eury Perez P Christian Scott SS Francisco Lindor,,Anthony Seigler,2B,1.01%,9
154,5220768101,Grimble,0,118.7,1B Josh Bell 2B Kody Clemens 3B Bo Bichette C Luis Torrens OF Brandon Marsh OF Luis Robert Jr. OF Luke Keaschall P Dylan Cease P Christian Scott SS Francisco Lindor,,Daz Cameron,OF,1.01%,7
154,5220784937,sportsfanatic89 (1/4),0,118.7,1B Michael Toglia 2B Bryson Stott 3B Eugenio Suarez C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Francisco Lindor,,Rhys Hoskins,1B,1.01%,2
154,5220785911,bjjball44 (10/17),0,118.7,1B Michael Toglia 2B Jake Cronenworth 3B Bryson Stott C Agustin Ramirez OF Fernando Tatis Jr. OF Corbin Carroll OF Jackson Merrill P Dylan Cease P Christian Scott SS Xander Bogaerts,,Colt Keith,3B,1.01%,19
157,5220763801,srken,0,118.55,1B Ty France 2B Chase Meidroth 3B Colt Keith C Gabriel Moreno OF Corbin Carroll OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Ryan Weathers SS Kaelen Culpepper,,Jim Jarvis,SS,1.01%,3
157,5220783030,dean78904 (2/6),0,118.55,1B Matt Olson 2B Ozzie Albies 3B Charles McAdoo C Drake Baldwin OF Michael Harris II OF Dominic Smith OF Brett Baty P Dylan Cease P Eury Perez SS Kaelen Culpepper,,TJ Friedl,OF,0.84%,0
159,5220764563,Fivecrossyolips,0,118.15,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Adley Rutschman OF Ronald Acuna Jr. OF Michael Harris II OF Heriberto Hernandez P Nick Lodolo P Jake Irvin SS Jose Caballero,,Gleyber Torres,2B,0.84%,10
160,5220784940,sportsfanatic89 (4/4),0,117.9,1B Jared Young 2B Ketel Marte 3B Bryson Stott C Agustin Ramirez OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Drew Anderson SS Francisco Lindor,,Keibert Ruiz,C,0.84%,10
161,5220779114,clilly35,0,117.8,1B Josh Bell 2B Jake Cronenworth 3B Jared Triolo C Drake Baldwin OF Bryan Reynolds OF Jackson Merrill OF Dominic Smith P Dylan Cease P Michael Soroka SS Colson Montgomery,,Brayan Rocchio,SS,0.84%,2
162,5220751794,Wanna_Square_Up1567 (14/17),0,117.7,1B Tim Tawa 2B Ketel Marte 3B Austin Riley C Agustin Ramirez OF Corbin Carroll OF Heriberto Hernandez OF Jorge Barrosa P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Brandon Lowe,2B,0.67%,12
162,5220752880,GGHOSTMANH (6/17),0,117.7,1B Alec Bohm 2B Luis Arraez 3B Bryson Stott C Brian Navarreto OF Bryce Harper OF Brandon Marsh OF Gavin Sheets P Dylan Cease P Christian Scott SS Francisco Lindor,,Luis Garcia Jr.,1B,0.67%,7
162,5220764836,pdt13 (1/17),0,117.7,1B Jared Young 2B Jorge Polanco 3B Kevin McGonigle C Agustin Ramirez OF Byron Buxton OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Christian Scott SS Francisco Lindor,,Tristan Peters,OF,0.67%,11
165,5220749471,Gronkowski69 (5/12),0,117.55,1B Jared Young 2B Ketel Marte 3B Jorge Polanco C Agustin Ramirez OF Carson Benge OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Francisco Lindor,,Andres Gimenez,SS,0.67%,13
165,5220764842,pdt13 (7/17),0,117.55,1B Jared Young 2B Jorge Polanco 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Heriberto Hernandez P Casey Mize P Christian Scott SS Elly De La Cruz,,Nick Yorke,1B,0.51%,17
167,5220785902,bjjball44 (1/17),0,116.9,1B Michael Toglia 2B Jake Cronenworth 3B Eugenio Suarez C Agustin Ramirez OF Fernando Tatis Jr. OF Corbin Carroll OF Javier Sanoja P Dylan Cease P Drew Anderson SS Elly De La Cruz,,Spencer Torkelson,1B,0.51%,2
168,5220770470,HypeBigelow,0,116.75,1B Jared Young 2B Jake Cronenworth 3B Bo Bichette C Drake Baldwin OF Ronald Acuna Jr. OF Carson Benge OF A.J. Ewing P Ryan Weathers P Christian Scott SS Francisco Lindor,,Jacob Young,OF,0.51%,3
169,5220764841,pdt13 (6/17),0,116.7,1B Jared Young 2B Jorge Polanco 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Esteury Ruiz P Dylan Cease P Christian Scott SS Francisco Lindor,,Ke'Bryan Hayes,3B,0.51%,2
170,5220770057,kyleorso (13/17),0,116.55,1B Charles McAdoo 2B Brett Baty 3B Nick Yorke C Drew Romo OF Fernando Tatis Jr. OF Corbin Carroll OF Esteury Ruiz P Dylan Cease P Eury Perez SS Elly De La Cruz,,Kevin McGonigle,SS,0.51%,2
171,5220788076,d9144 (12/12),0,116.1,1B Matt Olson 2B Jake Cronenworth 3B Manny Machado C Drake Baldwin OF Ronald Acuna Jr. OF Michael Harris II OF Mike Yastrzemski P Ryan Weathers P Dean Kremer SS Xander Bogaerts,,Travis Bazzana,2B,0.51%,0
172,5220751793,Wanna_Square_Up1567 (13/17),0,116.05,1B Tim Tawa 2B Ketel Marte 3B Javier Sanoja C Gabriel Moreno OF Corbin Carroll OF Kody Clemens OF Esteury Ruiz P Dylan Cease P Dean Kremer SS Geraldo Perdomo,,Rafael Flores Jr.,1B,0.51%,7
173,5220775481,Stree (1/12),0,115.7,1B Michael Toglia 2B Xavier Edwards 3B Javier Sanoja C Brian Navarreto OF Bryce Harper OF Heriberto Hernandez OF Jakob Marsee P Dylan Cease P Christian Scott SS Elly De La Cruz,,Javier Baez,OF,0.34%,0
173,5220781013,tvielkin (6/7),0,115.7,1B Dominic Smith 2B Jorge Polanco 3B Bo Bichette C Luis Torrens OF Corbin Carroll OF Michael Harris II OF A.J. Ewing P Dylan Cease P Christian Scott SS Francisco Lindor,,Hunter Barco,P,0.34%,6.95
175,5220771263,Fitzoreo (1/2),0,115.6,1B Kyle Schwarber 2B Bryson Stott 3B Javier Sanoja C Gabriel Moreno OF Bryce Harper OF Esteury Ruiz OF Edmundo Sosa P Eury Perez P Ryan Weathers SS Kaelen Culpepper,,Heliot Ramos,OF,0.34%,12
176,5220788067,d9144 (3/12),0,115.55,1B Dominic Smith 2B Jake Cronenworth 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Jackson Merrill OF Mike Yastrzemski P Dylan Cease P Eury Perez SS Xander Bogaerts,,Jose Caballero,SS,0.34%,14
177,5220774239,Moosemasher (1/2),0,114.85,1B Royce Lewis 2B Ketel Marte 3B Colt Keith C Drew Romo OF Bryan Reynolds OF Michael Harris II OF Carson Benge P Eury Perez P Michael Soroka SS Francisco Lindor,,Louis Varland,P,0.34%,0
177,5220782420,Moosemasher (2/2),0,114.85,1B Royce Lewis 2B Ketel Marte 3B Colt Keith C Drew Romo OF Bryan Reynolds OF Michael Harris II OF Carson Benge P Eury Perez P Michael Soroka SS Francisco Lindor,,Ben Rice,1B,0.34%,16
179,5220760910,freedom2dfs,0,114.75,1B Ty France 2B Jorge Polanco 3B Bryson Stott C Agustin Ramirez OF Bryce Harper OF Corbin Carroll OF Heriberto Hernandez P Ryan Weathers P Christian Scott SS Otto Lopez,,Dillon Dingler,C,0.17%,9
180,5220756752,cha457 (14/17),0,114.7,1B Jared Young 2B Ketel Marte 3B Jorge Polanco C Agustin Ramirez OF Ronald Acuna Jr. OF Corbin Carroll OF Tim Tawa P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Braydon Fisher,P,0.17%,-0.95
180,5220756755,cha457 (17/17),0,114.7,1B Kyle Schwarber 2B Jorge Polanco 3B Bo Bichette C Agustin Ramirez OF Esteury Ruiz OF Jo Adell OF Steven Kwan P Dylan Cease P Christian Scott SS Otto Lopez,,Andrew Morris,P,0.17%,-6.75
180,5220764840,pdt13 (5/17),0,114.7,1B Jared Young 2B Sam Antonacci 3B Jorge Polanco C Agustin Ramirez OF Byron Buxton OF Heriberto Hernandez OF Steven Kwan P Dylan Cease P Christian Scott SS Elly De La Cruz,,Mason Miller,P,0.17%,0
183,5220766658,blitzburgh07 (1/2),0,114.55,1B Josh Bell 2B Bryson Stott 3B Brooks Lee C Rafael Flores Jr. OF A.J. Ewing OF Heriberto Hernandez OF Andrew Benintendi P Dylan Cease P Eury Perez SS Francisco Lindor,,Myles Straw,OF,0.17%,2
183,5220770053,kyleorso (9/17),0,114.55,1B Ben Rice 2B Jorbit Vivas 3B Austin Riley C Rafael Flores Jr. OF Heliot Ramos OF Spencer Jones OF Jorge Barrosa P Dylan Cease P Eury Perez SS George Lombard Jr.,,Cade Gibson,P,0.17%,0
183,5220780049,tvielkin (5/7),0,114.55,1B Matt Olson 2B Ketel Marte 3B Charles McAdoo C Agustin Ramirez OF Jarren Duran OF Max Kepler OF Tim Tawa P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Kody Funderburk,P,0.17%,1.5
186,5220751792,Wanna_Square_Up1567 (12/17),0,114.05,1B Charles McAdoo 2B Ketel Marte 3B Javier Sanoja C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Max Kepler P Dylan Cease P Dean Kremer SS Geraldo Perdomo,,Isaac Mattson,P,0.17%,0
186,5220754562,hurtemhorns,0,114.05,1B Jared Young 2B Kody Clemens 3B Bo Bichette C Gabriel Moreno OF Carson Benge OF A.J. Ewing OF Trevor Larnach P Dylan Cease P Dean Kremer SS Francisco Lindor,,Mason Montgomery,P,0.17%,6.25
186,5220783769,FantasyCrusader (7/8),0,114.05,1B Jared Young 2B Kody Clemens 3B Bo Bichette C Luis Torrens OF Byron Buxton OF Carson Benge OF Trevor Larnach P Dylan Cease P Dean Kremer SS Francisco Lindor,,Lake Bachar,P,0.17%,12.95
189,5220762945,miguelon11,0,113.75,1B Munetaka Murakami 2B Ernie Clement 3B Miguel Vargas C Alejandro Kirk OF Trevor Larnach OF Braden Montgomery OF Tristan Peters P Dylan Cease P Bryce Elder SS Colson Montgomery,,Austin Hedges,C,0.17%,0
190,5220749470,Gronkowski69 (4/12),0,113.7,1B Matt Olson 2B Jorge Polanco 3B Jared Triolo C Drake Baldwin OF Carson Benge OF A.J. Ewing OF Brett Baty P Dylan Cease P Christian Scott SS Francisco Lindor,,Victor Caratini,1B,0.17%,2
190,5220753611,XYZee03 (1/17),0,113.7,1B Alec Bohm 2B Ketel Marte 3B Bryson Stott C Gabriel Moreno OF Corbin Carroll OF Justin Crawford OF Tim Tawa P Dylan Cease P Christian Scott SS Geraldo Perdomo,,,
