tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"MacIntyre, Robert",23323,7000,0.0303,T49,3,0,0,0,50.0,1,54.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"van Tonder, Daniel",15193,6100,0.0029,T44,0,0,0,0,52.5,1,53.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Horsfield, Sam",19866,6700,0.0151,T49,0,0,0,0,51.5,1,52.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Burmester, Dean",14424,6300,0.0247,T59,0,0,0,0,52.5,0,52.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Walker, Jimmy",7293,6200,0.001,T64,0,0,0,0,52.0,0,52.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Stenson, Henrik",5994,6900,0.0017,T64,0,0,0,0,52.0,0,52.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Herbert, Lucas",17064,6300,0.0003,T71,0,0,0,0,52.0,0,52.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Wallace, Matt",20706,7400,0.099,T55,3,0,0,0,49.0,0,52.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"McIlroy, Rory",10091,11500,0.1206,T49,0,0,0,0,50.5,1,51.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Varner III, Harold",16602,6600,0.0151,T49,0,0,0,0,50.5,1,51.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Werenski, Richy",19364,6300,0.0046,T38,0,0,0,0,49.5,2,51.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Steele, Brendan",11019,6500,0.0138,77,0,0,0,0,51.0,0,51.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Higgo, Garrick",24342,7400,0.0296,T64,0,0,0,0,50.5,0,50.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"An, Byeong Hun",14459,6400,0.0021,T49,0,0,0,0,49.0,1,50.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Marek, Brad",28324,6100,0.0,78,0,0,0,0,50.0,0,50.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Day, Jason",9771,7700,0.0168,T44,0,0,0,0,49.0,1,50.0
